Date,Close,High,Low,Open,Volume
2021-05-19,254.50442504882812,257.10092441737504,252.01917188210965,254.41168686429702,675333
2021-05-20,257.94476318359375,259.1502745403099,254.76404475956542,254.92167418481802,711831
2021-05-21,263.6385192871094,264.09292783797764,258.7237074898062,259.9106825068747,1571606
2021-05-24,268.24737548828125,269.36945946095653,263.035811905129,263.49947454846597,664155
2021-05-25,270.74188232421875,271.455940905595,269.2025189549273,271.44665859683266,625430
2021-05-26,267.8671569824219,270.52860421027407,267.83933835703,270.4173014089859,470288
2021-05-27,267.6353759765625,268.9243718946848,265.02959380942315,265.4469015684604,1012294
2021-05-28,268.1082763671875,270.5193277186348,266.4391022083431,270.11130233763356,584312
2021-05-31,269.1190490722656,271.5857375983443,268.10826796002823,268.1360865851459,621725
2021-06-01,267.06036376953125,268.6275455538913,265.6137387839247,268.6275455538913,328949
2021-06-02,266.10528564453125,268.1825137592438,264.5752044129654,267.4406364683732,461754
2021-06-03,266.151611328125,269.2488740608274,265.4746537528226,267.7280471682747,479069
2021-06-04,270.1947937011719,271.14993771856683,267.1160666219032,267.8115606627168,609020
2021-06-07,271.3075866699219,272.11435520309277,269.9768770457195,271.2426671029549,318732
2021-06-08,273.7372131347656,274.4790622054589,271.7898239495358,273.4682808192549,882658
2021-06-09,272.735595703125,276.31508562161645,271.8268351365551,275.30430456916946,452584
2021-06-10,273.7557678222656,277.2425209478438,273.7557678222656,275.06330024435744,521107
2021-06-11,275.081787109375,276.0925682776708,272.77272789766187,274.9612302939387,403912
2021-06-15,279.7925109863281,282.0922872634429,276.34286072051304,277.3629239200282,674189
2021-06-16,280.8868713378906,282.6487840216095,279.6906135911636,281.7863781505925,696901
2021-06-17,280.2562561035156,280.7940923310219,276.38929711192736,279.3382131032366,959068
2021-06-18,283.3164367675781,285.21747075532954,281.90691239351133,281.9996505904278,2097017
2021-06-21,282.834228515625,285.14325955480825,281.04449740252534,282.76930894993365,497281
2021-06-22,278.6798095703125,283.20516189681786,275.4156344608989,283.1217060096148,830706
2021-06-23,272.865478515625,278.44796681766195,271.5394100848658,278.1883168570957,918576
2021-06-24,265.7806701660156,270.77896673167487,265.19647904380463,269.0263084658816,941798
2021-06-25,264.40826416015625,265.511783517959,261.7004618646072,265.511783517959,917473
2021-06-28,267.4591064453125,268.9057312759534,264.28764228600585,264.56582848431566,468241
2021-06-29,268.8038024902344,270.4266218999071,266.1794841253282,269.5363974619524,535381
2021-06-30,264.46392822265625,270.42662364298184,264.46392822265625,270.4173413332406,983741
2021-07-01,262.8966979980469,266.9027497118546,262.8039598167632,264.0836731392062,688366
2021-07-02,263.53656005859375,265.40049283162017,262.4423230762993,263.3603660004609,461566
2021-07-05,261.5057067871094,264.2876823912275,260.90295106616094,264.2876823912275,400899
2021-07-06,257.0916748046875,261.9601329646505,256.99896490808663,261.17192904519777,508996
2021-07-07,260.726806640625,262.89674462889656,259.6511058063176,260.4671566668077,647149
2021-07-08,258.8536071777344,260.98644412490063,257.88918090696933,259.66037568992573,645721
2021-07-09,255.45030212402344,259.41925328537286,253.16908980457833,258.7237593087365,858187
2021-07-12,258.7794494628906,259.1874749432375,256.59097488623763,257.79648670561727,529852
2021-07-13,259.2059631347656,260.54131385890605,257.342058486267,259.7160090403559,756123
2021-07-14,259.4841613769531,260.9029678945786,258.46409792970445,258.72374787084766,682754
2021-07-15,255.15354919433594,258.32501415430613,254.56932973067916,257.2956683612627,774355
2021-07-16,257.53680419921875,257.79645417215136,255.2184907624188,256.7300356511683,1186043
2021-07-19,262.19195556640625,264.1764453626656,257.79644254440234,258.2786415296066,656467
2021-07-20,265.6601867675781,266.14238578039425,261.22757255451387,262.14561563073636,648423
2021-07-21,269.0448913574219,270.34314110560916,268.2566591996832,270.34314110560916,681930
2021-07-22,268.21954345703125,270.6769779836811,267.2365809662595,270.2967712391795,461915
2021-07-23,272.1514892578125,272.9118746357949,267.68641485358074,267.88578643376184,522811
